b,c
b22,c11
b29,c25
b24,c9
b16,c30
b25,c20
b15,c4
b5,c23
b30,c19
b1,c18
b9,c28
b3,c29
b30,c11
b27,c2
b12,c29
b22,c1
b2,c13
b29,c22
b19,c2
b13,c22
b17,c9
b13,c15
b22,c27
b0,c20
b19,c29
b7,c17
b6,c26
b16,c5
b15,c16
b12,c23
b4,c25
b12,c7
b4,c23
b19,c7
b4,c24
b5,c15
b4,c10
b30,c18
b16,c8
b1,c14
b7,c4
b26,c28
b6,c14
b16,c31
b12,c14
b26,c21
b17,c29
b3,c16
b20,c12
b3,c23
b18,c17
b20,c11
b9,c27
b25,c12
b1,c3
b12,c30
b19,c9
b3,c17
b0,c12
b29,c14
b3,c2
b10,c19
b18,c12
b16,c29
b20,c15
b8,c21
b27,c28
b21,c19
b14,c3
b13,c18
b6,c17
b11,c0
b3,c1
b13,c28
b31,c5
b3,c11
b17,c1
b14,c5
b24,c1
b12,c26
b27,c5
b20,c8
b0,c21
b0,c3
b8,c27
b29,c17
b14,c13
b9,c5
b25,c18
b22,c18
b24,c24
b29,c5
b2,c30
b15,c2
b22,c21
b16,c23
b21,c14
b6,c20
b2,c29
b26,c6
b21,c31
b30,c22
b11,c12
b7,c9
b16,c15
b26,c26
b18,c29
b5,c31
b23,c10
b14,c24
b30,c9
b31,c0
b7,c0
b19,c17
b23,c21
b9,c7
b8,c10
b28,c1
b21,c17
b25,c31
b0,c5
b1,c2
b30,c15
b13,c13
b25,c14
b14,c27
b7,c18
b16,c17
b6,c22
b26,c13
b23,c24
b23,c0
b19,c11
b0,c19
b5,c1
b9,c20
b18,c27
b28,c11
b2,c17
b13,c17
b12,c5
b29,c16
b10,c27
b17,c8
b16,c22
b23,c30
b9,c17
b14,c17
b30,c31
b21,c22
b7,c26
b18,c2
b24,c16
b0,c10
b22,c22
b18,c1
b21,c25
b12,c16
b17,c7
b15,c28
b3,c4
b8,c3
b20,c21
b0,c4
b22,c10
b8,c13
b24,c28
b27,c15
b10,c3
b19,c28
b15,c8
b16,c20
b10,c8
b22,c24
b5,c11
b20,c26
b23,c13
b30,c30
b28,c26
b27,c17
b4,c16
b10,c7
b13,c19
b23,c9
b22,c8
b15,c15
b0,c17
b3,c9
b26,c20
b17,c11
b12,c10
b0,c9
b2,c5
b9,c26
b2,c18
b12,c21
b9,c1
b12,c8
b8,c0
b7,c21
b9,c12
b17,c19
b8,c2
b30,c27
b27,c26
b5,c17
b6,c25
b16,c13
b12,c25
b12,c20
b10,c20
b13,c21
b30,c23
b22,c9
b25,c13
b8,c12
b20,c13
b15,c13
b28,c12
b18,c5
b14,c2
b22,c19
b9,c21
b19,c10
b31,c21
b28,c18
b10,c6
b21,c23
b9,c23
b23,c23
b17,c23
b6,c30
b24,c22
b19,c23
b19,c0
b7,c1
b28,c30
b13,c9
b12,c28
b19,c20
b4,c22
b6,c24
b4,c1
b21,c27
b9,c30
b13,c3
b18,c22
b29,c8
b20,c25
b11,c21
b13,c7
b11,c8
b0,c24
b19,c15
b8,c31
b17,c2
b31,c12
b1,c0
b28,c19
b9,c22
b21,c13
b10,c30
b10,c16
b11,c10
b31,c11
b3,c25
b13,c4
b27,c7
b31,c30
b8,c8
b27,c29
b5,c12
b10,c1
b5,c13
b22,c30
b28,c17
b26,c14
b27,c3
b27,c6
b5,c8
b17,c20
b4,c14
b3,c24
b16,c28
b11,c29
b11,c2
b10,c13
b10,c18
b24,c23
b20,c7
b27,c10
b4,c3
b26,c31
b7,c23
b13,c12
b17,c15
b30,c21
b28,c5
b27,c8
b18,c28
b15,c12
b6,c8
b3,c0
b14,c1
b7,c30
b9,c8
b30,c26
b0,c30
b17,c13
b17,c3
b10,c28
b9,c0
b18,c0
b28,c24
b28,c23
b17,c30
b31,c29
b23,c8
b0,c8
b23,c17
b6,c21
b27,c16
b8,c1
b10,c11
b31,c19
b9,c9
b13,c6
b9,c25
b23,c26
b11,c4
b24,c26
b19,c14
b26,c24
b30,c1
b16,c3
b4,c5
b24,c13
b10,c23
b6,c18
b2,c1
b9,c15
b13,c31
b10,c5
b29,c11
b31,c22
b2,c24
b5,c16
b12,c13
b27,c18
b18,c16
b25,c19
b1,c8
b18,c10
b26,c18
b3,c20
b8,c30
b31,c1
b27,c31
b12,c22
b21,c12
b8,c7
b14,c22
b6,c29
b20,c22
b24,c17
b2,c23
b31,c4
b15,c21
b31,c8
b22,c16
b6,c28
b29,c6
b23,c27
b20,c28
b3,c13
b12,c9
b28,c22
b24,c19
b1,c10
b26,c7
b31,c9
b8,c29
b27,c14
b15,c25
b24,c8
b23,c28
b4,c31
b29,c0
b22,c3
b28,c27
b25,c1
b27,c24
b22,c13
b26,c17
b6,c9
b15,c9
b6,c27
b23,c22
b5,c7
b4,c30
b7,c29
b29,c26
b4,c7
b12,c11
b5,c29
b8,c25
b27,c19
b8,c17
b14,c11
b5,c20
b10,c0
b21,c24
b21,c7
b5,c18
b16,c9
b22,c0
b31,c26
b7,c20
b7,c15
b26,c19
b15,c31
b21,c20
b17,c10
b14,c7
b5,c4
b16,c12
b29,c31
b7,c24
b7,c10
b3,c3
b28,c3
b21,c9
b19,c26
b13,c29
b27,c25
b14,c9
b14,c12
b26,c30
b2,c22
b24,c3
b23,c12
b7,c7
b18,c4
b8,c20
b30,c20
b31,c20
b15,c3
b31,c3
b2,c27
b28,c14
b22,c28
b29,c15
b6,c16
b5,c14
b22,c4
b13,c24
b12,c24
b1,c4
b28,c15
b13,c20
b7,c19
b20,c29
b24,c25
b31,c14
b22,c25
b25,c3
b14,c25
b19,c24
b24,c0
b18,c13
b10,c26
b9,c2
b26,c27
b15,c30
b9,c11
b22,c15
b5,c2
b20,c18
b18,c15
b12,c3
b4,c28
b2,c9
b4,c17
b4,c26
b19,c25
b6,c13
b18,c6
b8,c14
b9,c31
b9,c16
b20,c16
b31,c10
b16,c26
b28,c9
b12,c0
b29,c12
b14,c10
b23,c15
b8,c16
b29,c4
b27,c13
b0,c18
b5,c26
b17,c0
b17,c25
b24,c27
b6,c12
b23,c3
b10,c2
b22,c12
b28,c8
b11,c25
b23,c1
b25,c17
b14,c31
b11,c27
b15,c1
b14,c19
b21,c3
b20,c31
b3,c27
b20,c1
b25,c8
b3,c28
b23,c19
b26,c29
b0,c13
b8,c23
b21,c11
b17,c26
b16,c27
b7,c6
b31,c15
b29,c10
b28,c4
b0,c0
b11,c16
b5,c25
b1,c6
b25,c29
b23,c11
b11,c31
b0,c29
b18,c26
b31,c27
b6,c7
b20,c0
b11,c17
b4,c15
b18,c14
b23,c20
b28,c31
b4,c4
b3,c19
b10,c31
b13,c2
b6,c11
b7,c22
b1,c19
b22,c14
b4,c2
b26,c23
b9,c3
b2,c14
b3,c18
b19,c31
b4,c19
b25,c23
b23,c18
b3,c21
b3,c6
b4,c12
b23,c4
b2,c19
b19,c16
b5,c28
b8,c4
b28,c25
b29,c30
b0,c26
b29,c21
b2,c6
b1,c20
b29,c2
b16,c1
b29,c9
b26,c9
b16,c0
b21,c4
b21,c28
b21,c5
b30,c6
b13,c1
b3,c5
b24,c12
b1,c24
b17,c22
b22,c23
b27,c30
b26,c5
b10,c12
b4,c0
b21,c10
b11,c30
b21,c15
b28,c16
b1,c25
b15,c17
b5,c19
b8,c22
b28,c28
b3,c15
b2,c3
b26,c8
b7,c13
b1,c16
b31,c13
b4,c13
b18,c7
b11,c18
b16,c18
b7,c5
b2,c28
b29,c1
b3,c31
b29,c13
b13,c27
b8,c6
b31,c23
b30,c0
b22,c7
b5,c27
b2,c4
b30,c12
b15,c23
b24,c31
b20,c27
b25,c7
b17,c14
b21,c2
b6,c6
b0,c27
b2,c25
b14,c14
b11,c24
b19,c30
b6,c2
b23,c29
b6,c31
b1,c5
b8,c18
b25,c24
b14,c0
b26,c10
b4,c27
b4,c6
b17,c31
b17,c5
b14,c8
b14,c29
b17,c4
b29,c19
b20,c24
b21,c6
b3,c26
b1,c15
b29,c20
b16,c10
b23,c14
b25,c26
b22,c20
b20,c3
b13,c0
b5,c3
b0,c11
b26,c3
b16,c4
b27,c27
b16,c14
b7,c2
b7,c14
b31,c16
b11,c19
b11,c1
b1,c29
b13,c23
b18,c24
b6,c3
b6,c0
b27,c23
b21,c30
b6,c19
b21,c8
b31,c17
b19,c6
b25,c28
b1,c28
b26,c4
b15,c29
b1,c31
b17,c6
b8,c24
b9,c14
b19,c27
b26,c0
b27,c21
b5,c6
b19,c21
b1,c23
b28,c6
b9,c19
b23,c2
b11,c14
b5,c24
b4,c29
b8,c19
b17,c17
b14,c26
b24,c11
b0,c31
b11,c6
b2,c21
b5,c22
b16,c11
b10,c29
b27,c12
b30,c10
b28,c10
b3,c12
b30,c24
b2,c15
b26,c12
b22,c5
b21,c26
b14,c16
b19,c8
b18,c21
b6,c15
b28,c21
b29,c7
b31,c24
b12,c12
b8,c28
b25,c27
b21,c0
b26,c16
b25,c21
b0,c6
b7,c3
b26,c15
b3,c8
b15,c14
b27,c4
b18,c3
b17,c18
b0,c1
b24,c2
b25,c10
b30,c5
b5,c5
b27,c9
b19,c13
b23,c25
b15,c27
b14,c20
b9,c13
b26,c1
b30,c28
b13,c30
b1,c27
b1,c7
b18,c11
b15,c26
b25,c25
b15,c20
b18,c8
b31,c7
b18,c18
b9,c4
b15,c18
b15,c6
b20,c2
b11,c11
b1,c9
b31,c6
b29,c28
b2,c7
b11,c13
b16,c16
b30,c14
b11,c7
b7,c31
b20,c19
b12,c2
b24,c21
b19,c22
b14,c18
b29,c3
b1,c21
b4,c9
b25,c9
b12,c19
b11,c26
b29,c27
b24,c30
b24,c4
b7,c11
b1,c22
b0,c16
b30,c13
b27,c0
b14,c23
b11,c28
b12,c15
b27,c11
b4,c8
b17,c21
b12,c17
b25,c0
b12,c31
b2,c26
b15,c11
b25,c2
b17,c12
b3,c22
b5,c21
b13,c14
b20,c9
b25,c5
b29,c23
b25,c22
b9,c10
b4,c18
b12,c1
b15,c7
b5,c0
b24,c18
b7,c28
b16,c6
b1,c13
b16,c7
b30,c16
b13,c8
b11,c15
b9,c6
b1,c17
b28,c7
b9,c18
b22,c31
b18,c31
b24,c20
b19,c4
b15,c10
b9,c24
b31,c31
b14,c30
b20,c17
b0,c23
b1,c1
b20,c10
b7,c16
b7,c27
b2,c10
b8,c11
b13,c10
b21,c18
b13,c26
b17,c24
b22,c2
b0,c14
b12,c18
b10,c10
b29,c18
b18,c25
b16,c24
b13,c25
b30,c25
b18,c23
b7,c25
b12,c6
b16,c2
b17,c27
b0,c2
b10,c25
b16,c21
b15,c22
b28,c29
b5,c9
b2,c31
b11,c3
b14,c15
b19,c18
b31,c28
b8,c9
b24,c15
b2,c2
b28,c20
b7,c12
b1,c30
b14,c4
b20,c20
b26,c11
b6,c23
b30,c4
b24,c7
b8,c5
b30,c2
b10,c22
b15,c19
b22,c6
b19,c3
b4,c20
b2,c8
b10,c21
b26,c25
b6,c4
b24,c29
b25,c15
b10,c14
b2,c16
b24,c14
b18,c30
b26,c2
b8,c15
b21,c1
b30,c3
b25,c11
b22,c17
b16,c25
b3,c7
b0,c7
b11,c22
b0,c15
b3,c30
b29,c29
b27,c20
b15,c0
b20,c5
b20,c6
b8,c26
b9,c29
b2,c20
b13,c5
b28,c0
b23,c16
b23,c6
b22,c29
b6,c5
b10,c15
b6,c1
b13,c16
b0,c22
b25,c6
b23,c7
b0,c28
b28,c2
b18,c20
b18,c9
b0,c25
b30,c29
b7,c8
b13,c11
b4,c21
b5,c30
b2,c0
b11,c9
b2,c12
b30,c17
b1,c12
b5,c10
b1,c11
b28,c13
b12,c4
b27,c22
b19,c1
b10,c17
b26,c22
b14,c28
b24,c5
b3,c14
b21,c16
b4,c11
b14,c21
b15,c5
b31,c25
b19,c5
b16,c19
b29,c24
b22,c26
b25,c30
b2,c11
b19,c19
b10,c4
b12,c27
b31,c2
b30,c7
b25,c4
b30,c8
b11,c20
b10,c24
b20,c30
