a,b
a28,b29
a28,b12
a11,b30
a11,b6
a28,b19
a9,b5
a2,b25
a28,b10
a0,b4
a3,b2
a12,b15
a1,b29
a20,b28
a12,b14
a18,b31
a0,b5
a29,b17
a26,b5
a16,b20
a14,b18
a1,b4
a6,b25
a6,b18
a24,b4
a1,b0
a13,b13
a3,b30
a24,b25
a26,b4
a12,b17
a21,b5
a19,b21
a0,b26
a7,b8
a15,b6
a0,b3
a29,b31
a11,b12
a8,b26
a24,b7
a25,b26
a13,b0
a17,b19
a1,b13
a11,b25
a6,b2
a9,b13
a28,b16
a0,b21
a18,b24
a4,b4
a5,b13
a15,b0
a23,b23
a29,b8
a30,b8
a24,b11
a9,b19
a14,b15
a12,b10
a12,b24
a30,b5
a26,b3
a6,b6
a2,b16
a15,b25
a16,b26
a31,b18
a11,b4
a8,b14
a30,b4
a17,b13
a13,b1
a4,b17
a26,b28
a15,b3
a2,b11
a18,b23
a8,b5
a23,b8
a28,b21
a8,b2
a1,b30
a22,b19
a2,b1
a4,b30
a4,b19
a20,b8
a28,b23
a2,b8
a21,b22
a5,b30
a4,b26
a1,b31
a0,b24
a24,b0
a4,b5
a5,b7
a21,b24
a29,b28
a29,b5
a1,b19
a1,b14
a7,b31
a31,b16
a0,b23
a19,b9
a21,b28
a31,b15
a20,b25
a16,b12
a27,b12
a13,b24
a14,b20
a13,b8
a8,b31
a22,b2
a10,b7
a28,b30
a26,b24
a31,b20
a28,b20
a4,b2
a17,b2
a17,b22
a19,b1
a8,b25
a29,b12
a1,b17
a15,b9
a3,b7
a28,b6
a23,b4
a12,b12
a30,b16
a11,b0
a30,b2
a11,b14
a10,b25
a14,b5
a8,b28
a21,b29
a20,b13
a6,b7
a13,b15
a24,b5
a19,b20
a16,b1
a22,b5
a2,b28
a21,b26
a17,b31
a4,b27
a21,b8
a30,b9
a28,b31
a5,b14
a28,b18
a10,b16
a19,b24
a13,b19
a9,b17
a31,b12
a26,b7
a1,b2
a25,b7
a31,b5
a10,b4
a29,b26
a25,b17
a15,b30
a31,b8
a21,b27
a30,b20
a6,b12
a26,b1
a16,b8
a12,b9
a14,b0
a18,b20
a22,b15
a31,b6
a31,b7
a27,b1
a24,b26
a10,b13
a22,b11
a20,b20
