c,d
c3,d12
c10,d19
c4,d9
c29,d17
c16,d13
c25,d5
c10,d4
c23,d3
c21,d22
c16,d8
c13,d12
c17,d14
c11,d10
c16,d10
c21,d5
c28,d6
c14,d4
c31,d22
c29,d30
c19,d31
c3,d20
c8,d9
c11,d22
c0,d30
c28,d1
c19,d8
c12,d5
c11,d12
c26,d18
c16,d28
c12,d12
c2,d29
c11,d30
c19,d10
c11,d11
c26,d11
c16,d27
c5,d4
c19,d25
c13,d28
c28,d13
c16,d1
c20,d6
c8,d2
c25,d21
c2,d8
c26,d13
c4,d15
c2,d10
c2,d23
c26,d10
c10,d21
c5,d28
c12,d21
c8,d3
c28,d23
c28,d12
c16,d23
c4,d22
c12,d14
c19,d22
c29,d31
c31,d30
c7,d30
c14,d26
c8,d29
c4,d11
c13,d27
c23,d31
c6,d0
c18,d19
c28,d19
c24,d2
c31,d21
c4,d7
c20,d3
c15,d3
c7,d5
c26,d7
c2,d28
c13,d22
c13,d30
c31,d1
c4,d25
c17,d25
c17,d20
c27,d7
c25,d16
c18,d20
c23,d4
c24,d17
c23,d16
c26,d24
c1,d7
c20,d25
c23,d24
c9,d5
c5,d19
c6,d31
c20,d23
c1,d30
c23,d10
c18,d30
c5,d5
c31,d9
c10,d9
c0,d28
c24,d23
c24,d6
c27,d23
c21,d21
c0,d3
c8,d22
c27,d10
c5,d31
c13,d29
c30,d11
c3,d13
c5,d17
c17,d23
c1,d17
c13,d25
c10,d26
c22,d9
c29,d6
c12,d27
c1,d15
c8,d18
c25,d18
c12,d26
c23,d0
c14,d7
c4,d8
c11,d6
c15,d12
c27,d24
c1,d10
c13,d6
c10,d7
c19,d3
c9,d14
c11,d3
c20,d31
c19,d6
c18,d29
c5,d2
c23,d26
c28,d10
c21,d3
c17,d18
c1,d4
c17,d1
c25,d29
c27,d14
c4,d27
c30,d25
c6,d18
c28,d0
c18,d18
c22,d1
c7,d6
c21,d18
c16,d25
c26,d22
c8,d24
c3,d7
c1,d2
c8,d15
c9,d3
c18,d26
c9,d6
c16,d14
c22,d11
c4,d10
c5,d29
c8,d11
c19,d14
c14,d25
c8,d16
c15,d21
c19,d12
c10,d14
c6,d14
c31,d6
c18,d13
c12,d31
c21,d23
c31,d31
c11,d19
c6,d13
c1,d5
c1,d31
c12,d17
c24,d15
c18,d8
c0,d16
c6,d16
c13,d4
c14,d20
c8,d4
c8,d28
c21,d24
c31,d28
c2,d0
c9,d9
c5,d21
c16,d5
c22,d2
c7,d1
c4,d12
c15,d19
c15,d26
c29,d0
c23,d18
c5,d0
c28,d25
c29,d24
c20,d28
c1,d24
c20,d9
c18,d22
c28,d9
c18,d5
c9,d4
c24,d29
c19,d24
c5,d22
c7,d15
c1,d23
c12,d1
c11,d29
c15,d15
c25,d26
c20,d5
c16,d2
c0,d22
c7,d9
c30,d30
c21,d12
c14,d24
c10,d23
c6,d24
c4,d6
c29,d18
c27,d9
c3,d8
c20,d29
c29,d2
c24,d7
c2,d15
c26,d25
c2,d22
c11,d15
c21,d0
c17,d11
c17,d26
c30,d8
c7,d4
c29,d28
c23,d23
c11,d9
c28,d26
c27,d20
c29,d12
c27,d31
c3,d6
c7,d18
c7,d26
c26,d28
c16,d7
c30,d29
c0,d9
c29,d4
c8,d19
c13,d16
c31,d23
c1,d8
c21,d9
c7,d31
c10,d15
c15,d10
c14,d0
c0,d1
c28,d2
c27,d19
c25,d27
c13,d0
c17,d30
c19,d18
c31,d12
c22,d31
c21,d14
c18,d4
c29,d20
c22,d28
c20,d19
c18,d0
c11,d8
c28,d24
c17,d21
c15,d24
c16,d24
c27,d4
c14,d19
c8,d0
c30,d10
c20,d30
c10,d6
c6,d21
c25,d7
c12,d24
c9,d16
c23,d9
c5,d3
c23,d19
c4,d16
c22,d27
c1,d9
c30,d27
c6,d3
c8,d20
c17,d13
c14,d1
c19,d27
c17,d5
c20,d2
c17,d9
c4,d19
c23,d15
c30,d28
c26,d16
c7,d12
c6,d5
c29,d1
c27,d18
c11,d31
c22,d10
c12,d6
c30,d23
c8,d7
c29,d11
c28,d22
c29,d10
c18,d9
c29,d14
c0,d13
c0,d0
c27,d26
c2,d26
c31,d10
c16,d9
c19,d19
c3,d0
c6,d28
c20,d17
c27,d29
c13,d21
c11,d5
c15,d31
c22,d6
c26,d17
c11,d18
c8,d31
c2,d25
c11,d17
c9,d8
c0,d17
c2,d17
c23,d20
c9,d21
c25,d15
c7,d25
c14,d17
c20,d14
c16,d11
c22,d18
c27,d12
c27,d16
c6,d26
c29,d9
c9,d22
c28,d17
c31,d20
c15,d7
c20,d18
c31,d19
c25,d28
c6,d22
c6,d12
c9,d28
c0,d24
c16,d30
c19,d9
c22,d16
c4,d26
c4,d18
c31,d0
c15,d4
c0,d8
c31,d2
c7,d11
c8,d10
c11,d4
c20,d4
c25,d8
c1,d28
c10,d20
c3,d31
c30,d26
c31,d24
c1,d3
c2,d14
c29,d21
c10,d10
c4,d14
c11,d25
c22,d3
c1,d11
c25,d22
c9,d26
c15,d30
c15,d0
c8,d8
c24,d9
c10,d8
c8,d13
c21,d11
c0,d5
c7,d16
c11,d20
c16,d29
c27,d25
c23,d21
c31,d26
c24,d1
c24,d19
c22,d26
c12,d25
c14,d8
c28,d15
c14,d14
c7,d3
c23,d12
c5,d6
c5,d24
c0,d29
c24,d0
c10,d17
c29,d27
c22,d0
c18,d16
c16,d19
c7,d8
c11,d26
c25,d1
c16,d16
c2,d3
c6,d20
c2,d9
c21,d16
c13,d19
c2,d2
c13,d2
c30,d9
c18,d2
c12,d8
c11,d14
c28,d11
c30,d18
c6,d1
c29,d19
c8,d12
c7,d22
c2,d1
c5,d20
c22,d24
c9,d29
c26,d21
c20,d22
c14,d9
c31,d3
c3,d25
c30,d5
c4,d31
c19,d20
c12,d28
c14,d12
c9,d18
c1,d16
c22,d8
c6,d17
c5,d27
c10,d1
c14,d29
c18,d10
c21,d6
c20,d11
c14,d23
c15,d28
c16,d4
c22,d14
