a,b
a57,b59
a57,b65
a24,b23
a65,b60
a23,b12
a57,b38
a18,b11
a68,b5
a50,b57
a20,b1
a67,b8
a7,b4
a24,b30
a3,b59
a41,b56
a25,b66
a29,b37
a63,b0
a10,b58
a35,b52
a70,b10
a32,b40
a29,b65
a36,b3
a8,b13
a51,b13
a37,b49
a8,b2
a0,b27
a26,b6
a60,b48
a50,b53
a9,b25
a34,b43
a11,b39
a42,b1
a52,b15
a17,b31
a12,b1
a7,b59
a62,b22
a24,b57
a65,b24
a16,b53
a49,b14
a27,b0
a34,b38
a2,b26
a23,b50
a12,b5
a18,b27
a56,b33
a1,b42
a9,b9
a11,b26
a31,b1
a47,b47
a58,b16
a61,b17
a49,b23
a19,b39
a29,b31
a24,b20
a70,b25
a49,b61
a10,b53
a6,b13
a13,b4
a65,b32
a30,b50
a32,b53
a62,b37
a66,b22
a8,b16
a29,b61
a9,b35
a27,b26
a2,b8
a34,b52
a57,b31
a7,b5
a22,b36
a47,b67
a16,b11
a46,b17
a57,b42
a66,b17
a4,b2
a60,b45
a39,b4
a2,b9
a61,b8
a39,b40
a17,b9
a9,b57
a69,b47
a5,b16
a43,b45
a10,b60
a9,b53
a3,b63
a1,b48
a48,b1
a9,b10
a11,b14
a42,b49
a58,b56
a59,b69
a10,b66
a65,b3
a39,b11
a61,b2
a29,b14
a63,b62
a32,b1
a47,b38
a18,b25
a66,b21
a43,b56
a63,b30
a41,b51
a32,b25
a55,b25
a27,b49
a28,b40
a26,b17
a17,b63
a44,b5
a8,b35
a21,b14
a57,b60
a35,b27
a52,b48
a66,b63
a40,b57
a41,b9
a4,b35
a5,b35
a45,b39
a2,b17
a51,b58
a24,b3
a34,b30
a18,b6
a14,b57
a13,b68
a47,b9
a25,b25
a60,b32
a22,b1
a60,b68
a4,b22
a28,b34
a44,b69
a66,b64
a20,b50
a28,b11
a52,b49
a16,b57
a58,b25
a0,b48
a70,b64
a43,b59
a41,b26
a12,b15
a27,b31
a49,b11
a39,b68
a41,b33
a2,b44
a64,b10
a4,b56
a43,b70
a53,b35
a62,b3
a27,b8
a54,b4
a22,b68
a42,b17
a60,b19
a66,b66
a56,b63
a11,b28
a56,b67
a37,b21
a66,b65
a32,b39
a48,b26
a38,b18
a69,b67
a34,b63
a25,b52
a68,b14
a64,b0
a48,b3
a66,b51
a69,b15
a62,b11
a21,b8
a68,b58
a52,b51
a34,b31
a60,b63
a16,b43
a55,b60
a67,b40
a13,b24
a53,b3
a33,b16
a2,b4
a24,b19
a29,b1
a36,b41
a45,b31
a63,b13
a63,b15
a25,b67
a55,b2
a48,b52
a67,b20
a68,b26
a68,b27
a67,b27
a69,b17
a29,b44
a23,b40
a40,b24
a27,b24
a12,b17
a30,b16
a11,b33
a49,b12
a55,b53
a69,b16
a25,b51
a2,b12
a25,b45
a46,b14
a64,b43
a64,b24
a9,b61
a13,b3
a4,b70
a65,b61
a18,b24
a23,b14
a26,b22
a20,b36
a12,b7
a17,b59
a9,b12
a41,b50
a59,b54
a65,b45
a55,b26
a47,b1
a5,b25
a23,b52
a58,b46
a47,b51
a24,b21
a12,b65
a1,b41
a10,b51
a24,b64
a43,b33
a35,b14
a20,b51
a17,b42
a68,b47
a55,b23
a51,b26
a23,b9
a43,b38
a60,b12
a1,b45
a6,b29
a43,b27
a51,b23
a68,b9
a49,b65
a63,b27
a15,b50
a2,b14
a13,b30
a32,b56
a51,b64
a6,b25
a12,b33
a32,b35
a69,b65
a53,b66
a12,b56
a9,b70
a5,b49
a20,b49
a60,b21
a63,b69
a7,b54
a63,b53
a36,b67
a51,b39
a46,b67
a36,b61
a34,b36
a37,b3
a1,b31
a5,b20
a6,b40
a50,b6
a40,b9
a28,b54
a61,b32
a31,b5
a66,b12
a59,b18
a31,b14
a6,b53
a58,b15
a45,b67
a19,b15
a46,b56
a17,b53
a58,b33
a53,b46
a67,b17
a37,b16
a30,b61
a14,b64
a39,b64
a45,b35
a34,b24
a35,b30
a24,b31
a64,b25
a5,b7
a1,b34
a33,b54
a3,b4
a13,b28
a69,b35
a9,b11
a20,b70
a30,b47
a61,b61
a45,b26
a43,b43
a63,b17
a9,b15
a57,b27
a56,b54
a33,b49
a19,b47
a19,b41
a37,b70
a23,b54
a47,b12
a59,b41
a10,b69
a10,b55
a62,b59
a38,b1
a9,b39
a27,b10
a38,b63
a41,b36
a18,b28
a45,b41
a46,b15
a35,b56
a67,b39
a58,b40
a28,b51
a66,b31
a10,b46
a46,b3
a46,b50
a49,b24
a47,b49
a69,b19
a22,b22
a11,b58
a36,b2
a28,b66
a7,b69
a20,b37
a2,b54
a8,b69
a39,b69
a10,b42
a10,b35
a13,b40
a10,b3
a18,b12
a54,b31
a28,b62
a66,b43
a58,b50
a44,b43
a5,b52
a44,b0
a48,b11
a3,b67
a46,b1
a14,b53
a53,b18
a31,b20
a48,b21
a49,b54
a67,b37
a35,b7
a60,b39
a14,b38
a19,b22
a7,b58
a2,b61
a4,b40
a13,b25
a23,b45
a27,b30
a60,b65
a28,b56
a23,b35
a51,b22
a39,b70
