c,d
c21,d40
c59,d10
c35,d15
c57,d39
c7,d69
c36,d70
c65,d19
c70,d25
c62,d49
c61,d11
c1,d54
c65,d57
c9,d3
c16,d60
c41,d68
c62,d1
c64,d40
c54,d29
c28,d32
c53,d51
c35,d1
c53,d20
c60,d33
c9,d30
c45,d37
c58,d42
c14,d64
c47,d8
c49,d3
c40,d23
c49,d59
c61,d70
c35,d30
c14,d21
c1,d34
c46,d11
c27,d13
c21,d44
c44,d59
c14,d52
c41,d66
c57,d40
c6,d24
c8,d34
c5,d57
c20,d8
c40,d43
c64,d53
c16,d23
c13,d68
c13,d16
c69,d50
c3,d32
c52,d6
c35,d13
c15,d35
c46,d2
c54,d61
c37,d44
c23,d50
c18,d36
c49,d48
c29,d31
c34,d22
c45,d23
c66,d47
c35,d10
c58,d60
c21,d6
c22,d51
c13,d0
c62,d7
c37,d65
c26,d0
c69,d43
c24,d67
c13,d38
c57,d41
c42,d30
c25,d4
c50,d22
c19,d24
c32,d7
c26,d67
c3,d31
c45,d57
c70,d53
c23,d35
c67,d40
c23,d29
c18,d25
c58,d57
c3,d64
c18,d17
c40,d22
c56,d0
c54,d51
c63,d58
c43,d2
c33,d61
c40,d21
c19,d31
c20,d32
c61,d67
c34,d61
c63,d21
c69,d38
c65,d24
c54,d35
c65,d16
c24,d18
c47,d45
c14,d2
c50,d29
c44,d49
c16,d70
c57,d35
c43,d53
c46,d27
c26,d54
c0,d42
c37,d59
c65,d31
c38,d37
c56,d10
c50,d41
c59,d58
c21,d70
c1,d53
c47,d9
c59,d35
c9,d47
c34,d40
c69,d20
c14,d11
c61,d28
c56,d61
c52,d39
c20,d38
c33,d10
c22,d21
c2,d40
c21,d69
c60,d52
c5,d56
c0,d62
c56,d53
c41,d64
c50,d24
c41,d14
c19,d5
c55,d2
c11,d47
c9,d22
c60,d17
c54,d12
c55,d70
c66,d19
c26,d41
c0,d33
c67,d69
c55,d54
c50,d50
c4,d4
c62,d36
c19,d60
c34,d15
c70,d47
c63,d31
c50,d26
c6,d2
c35,d14
c43,d47
c68,d53
c37,d5
c50,d38
c53,d32
c48,d9
c64,d41
c54,d22
c48,d66
c39,d69
c23,d65
c48,d38
c14,d20
c26,d70
c14,d17
c11,d17
c41,d21
c28,d63
c27,d37
c3,d60
c46,d60
c58,d1
c51,d39
c42,d47
c15,d34
c61,d3
c55,d65
c38,d59
c62,d59
c47,d19
c60,d25
c21,d65
c11,d56
c38,d62
c58,d61
c37,d4
c18,d16
c2,d39
c50,d45
c12,d6
c43,d0
c9,d37
c3,d36
c56,d35
c21,d20
c39,d16
c5,d70
c39,d0
c42,d39
c7,d22
c40,d56
c23,d60
c2,d27
c7,d0
c11,d59
c11,d44
c8,d59
c3,d63
c28,d39
c39,d54
c35,d51
c39,d5
c13,d53
c70,d37
c39,d36
c54,d18
c6,d40
c50,d4
c20,d5
c17,d53
c3,d6
c39,d65
c68,d16
c60,d32
c48,d36
c40,d13
c17,d20
c12,d15
c5,d19
c11,d14
c58,d32
c12,d25
c10,d28
c7,d66
c50,d31
c16,d52
c57,d66
c27,d50
c43,d17
c8,d32
c33,d54
c17,d66
c33,d13
c30,d62
c36,d10
c1,d13
c5,d5
c35,d29
c14,d8
c23,d6
c70,d3
c5,d45
c19,d16
c34,d55
c52,d4
c13,d24
c15,d67
c61,d51
c8,d51
c3,d24
c10,d49
c12,d55
c4,d34
c61,d35
c47,d66
c56,d6
c45,d4
c47,d40
c3,d28
c63,d4
c19,d51
c17,d60
c23,d53
c47,d52
c5,d52
c22,d57
c45,d9
c48,d63
c51,d4
c37,d34
c70,d60
c2,d55
c7,d57
c38,d26
c54,d1
c31,d23
c12,d58
c38,d17
c25,d47
c14,d22
c36,d27
c26,d45
c51,d20
c53,d65
c45,d1
c62,d8
c67,d5
c57,d24
c18,d22
c69,d25
c12,d27
c46,d68
c35,d36
c27,d53
c62,d43
c64,d14
c31,d51
c4,d12
c49,d4
c65,d65
c44,d60
c58,d39
c44,d21
c35,d9
c17,d34
c29,d13
c17,d0
c22,d14
c59,d18
c15,d46
c1,d28
c42,d32
c30,d15
c39,d70
c21,d26
c70,d68
c40,d15
c9,d43
c58,d59
c56,d27
c8,d22
c54,d47
c13,d34
c14,d5
c0,d52
c31,d49
c57,d38
c14,d26
c4,d28
c51,d37
c1,d51
c36,d50
c31,d44
c16,d26
c24,d27
c3,d57
c18,d45
c5,d54
c55,d7
c55,d51
c35,d20
c23,d36
c41,d5
c20,d10
c20,d0
c17,d24
c16,d43
c12,d29
c69,d57
c63,d41
c36,d11
c17,d36
c6,d65
c32,d12
c21,d1
c53,d15
c21,d62
c60,d37
c3,d65
c31,d5
c63,d59
c52,d66
c47,d7
c69,d55
c14,d53
c55,d43
c12,d46
c54,d46
c45,d63
c10,d6
c32,d59
c31,d2
c21,d30
c33,d1
c37,d0
c67,d26
c27,d19
c17,d18
c26,d31
c25,d65
c63,d33
c43,d1
c56,d28
c43,d60
c30,d70
c2,d17
c18,d20
c46,d20
c52,d7
c30,d34
c13,d61
c25,d48
c20,d9
c46,d66
c44,d31
c55,d44
c21,d12
c62,d38
c50,d16
c35,d17
c9,d28
c51,d23
c55,d11
c52,d13
c49,d17
c1,d39
c35,d32
c7,d48
c40,d55
c61,d2
c30,d11
c53,d22
c70,d58
c39,d20
c52,d44
c0,d14
c32,d9
c41,d19
c62,d15
c28,d52
c47,d15
c47,d0
c3,d12
c45,d27
c4,d58
c43,d64
c23,d63
c19,d47
c39,d41
c34,d10
c28,d26
c26,d33
c55,d45
c69,d51
c68,d65
c11,d21
c68,d29
c24,d4
c26,d39
c22,d58
c49,d5
c69,d31
c50,d33
c60,d23
c54,d53
c18,d52
c10,d4
c2,d3
c40,d33
c20,d37
c69,d27
c57,d28
c52,d28
c55,d48
c60,d67
c14,d46
c70,d18
c32,d45
c59,d69
c41,d52
c28,d33
c28,d9
c3,d35
c35,d38
c52,d46
c7,d63
c22,d15
c62,d58
c57,d58
c20,d19
c38,d14
c50,d52
c55,d41
c36,d28
c60,d31
c40,d10
c61,d6
c25,d7
c24,d39
c43,d41
c25,d19
c26,d61
c69,d61
c21,d37
c5,d61
c67,d45
c50,d36
c10,d59
c62,d52
c50,d14
c23,d54
c52,d70
c34,d8
c4,d15
c53,d6
c52,d27
c33,d51
c43,d36
c47,d14
c63,d2
c63,d54
c40,d8
c1,d58
c63,d17
c32,d46
c0,d64
c9,d61
c24,d0
c63,d3
c15,d56
c44,d19
c5,d21
c0,d57
c50,d56
c52,d12
c69,d53
c22,d27
c53,d13
c24,d43
c67,d13
c59,d36
c20,d51
c16,d36
c25,d39
c12,d39
c42,d8
c58,d13
c17,d43
c35,d58
c17,d51
c61,d13
c10,d52
c9,d32
c61,d47
c38,d34
c13,d60
c8,d15
c4,d47
c35,d8
c8,d56
c42,d17
c48,d54
c69,d36
c25,d2
c27,d59
c34,d36
c66,d18
c65,d45
c1,d23
c35,d48
c56,d2
c3,d17
c31,d46
c12,d59
c17,d45
c0,d11
c69,d2
c51,d15
c23,d69
c42,d11
c14,d56
c27,d2
c29,d52
c14,d13
c23,d61
c35,d6
c15,d42
c12,d68
c51,d53
c49,d53
c7,d70
c54,d43
c5,d16
c42,d16
c49,d66
c60,d29
c68,d49
c0,d23
c33,d23
c16,d47
c66,d14
c25,d60
c25,d69
c61,d16
c31,d69
c64,d25
c62,d27
c30,d27
c22,d12
c23,d56
c52,d64
c15,d1
c61,d17
c68,d66
c66,d53
c50,d1
c63,d12
c13,d69
c56,d68
c69,d8
c12,d35
c6,d12
c47,d33
c7,d8
c32,d6
c48,d51
c55,d38
c37,d12
c7,d24
c69,d64
c41,d22
c54,d13
c54,d17
c29,d51
c35,d21
c44,d69
c15,d64
c70,d15
c22,d69
c13,d36
c65,d25
c59,d21
c64,d46
c44,d62
c46,d37
c11,d1
c19,d37
c2,d58
c1,d68
c11,d49
c2,d33
c22,d32
c42,d3
c4,d43
c48,d31
c36,d7
c25,d59
c23,d9
c24,d30
c31,d14
c27,d20
c8,d4
c47,d44
c27,d23
c60,d38
c6,d8
c18,d15
c58,d11
c36,d5
c50,d35
c17,d52
c32,d28
c60,d47
c48,d55
c2,d43
c23,d30
c55,d35
c53,d10
c60,d57
c63,d53
c52,d43
c36,d15
c29,d1
c22,d25
c57,d48
c30,d1
c50,d43
c48,d62
c22,d43
c66,d28
c15,d7
c13,d40
c53,d47
c55,d13
c1,d25
c44,d67
c32,d61
c52,d68
c43,d3
c0,d45
c11,d16
c12,d47
c20,d56
c38,d3
c26,d48
c66,d13
c58,d29
c49,d50
c18,d48
c7,d26
c14,d63
c29,d30
c23,d46
c2,d19
c31,d66
c20,d12
c2,d22
c9,d55
c43,d15
c26,d27
c36,d46
c10,d23
c40,d50
c66,d62
c19,d3
c15,d9
c7,d29
c37,d55
c50,d47
c35,d66
c52,d54
c40,d7
c55,d34
c28,d27
c6,d4
c0,d27
c43,d67
c3,d62
c2,d10
c46,d32
c10,d66
c26,d15
c25,d18
c20,d18
c66,d41
c8,d68
c65,d53
c30,d69
c38,d51
c6,d56
c25,d0
c50,d20
c39,d27
c60,d34
c65,d4
c37,d30
c21,d24
c37,d46
c17,d16
c39,d13
c8,d60
c39,d22
c52,d65
c24,d40
c45,d53
c43,d62
c31,d32
c45,d0
c1,d42
c68,d14
c51,d64
c60,d64
c11,d31
c27,d69
c48,d27
c15,d45
c56,d55
c14,d12
c44,d12
c46,d5
c31,d35
c51,d66
c8,d18
c48,d5
c46,d62
c32,d11
c60,d2
c0,d22
c3,d13
c7,d67
c18,d69
c39,d44
c8,d41
c10,d40
c5,d23
c70,d0
c70,d42
c52,d29
c67,d48
c52,d2
c28,d62
c28,d20
c51,d3
c20,d15
c45,d24
c51,d44
c41,d61
c27,d32
c30,d10
c15,d58
c37,d49
c4,d17
c38,d35
c64,d26
c36,d55
c70,d27
c27,d63
c7,d4
c1,d35
c2,d47
c68,d23
c37,d60
c22,d11
c18,d43
c36,d3
c25,d40
c47,d17
c51,d67
c55,d15
c47,d58
c18,d18
c60,d51
c57,d60
c32,d41
c62,d3
c67,d51
c43,d33
c68,d47
c53,d41
c69,d33
c6,d38
c62,d28
c14,d36
c46,d19
c68,d31
c40,d64
c70,d43
c61,d59
c65,d12
c62,d50
c0,d68
c70,d2
c9,d69
c18,d11
c41,d55
c19,d36
c24,d64
c34,d14
c62,d22
c26,d2
c20,d68
c32,d52
c13,d48
c1,d12
c6,d62
c25,d67
c18,d19
c50,d19
c34,d38
c52,d61
c31,d58
c8,d44
c12,d50
c70,d33
c17,d14
c4,d55
c65,d21
c52,d25
c51,d43
c31,d42
c18,d5
c39,d34
c51,d69
c37,d31
c41,d31
c13,d28
c47,d60
c54,d24
c54,d36
c51,d31
c36,d38
c1,d50
c34,d58
c2,d15
c56,d4
c33,d42
c41,d27
c51,d6
c32,d57
c0,d2
c35,d24
c24,d45
c25,d9
c58,d21
c53,d25
c10,d13
c29,d42
c26,d14
c37,d7
c1,d67
c22,d33
c63,d5
c20,d59
c52,d37
c33,d24
c40,d16
c20,d60
c3,d20
c46,d58
c69,d5
c47,d13
c29,d40
c14,d69
c61,d64
c44,d32
c4,d62
c24,d34
c28,d29
c42,d45
c61,d43
c20,d20
c58,d25
c30,d44
c53,d39
c70,d45
c31,d37
c11,d58
c10,d32
c66,d8
c11,d33
c13,d45
c32,d25
c15,d57
c66,d33
c63,d23
c57,d27
c37,d23
c26,d68
c7,d32
c54,d52
c55,d5
c54,d26
c41,d63
c35,d31
c15,d65
c42,d20
c48,d57
c44,d52
c65,d0
c23,d12
c62,d37
c56,d16
c6,d25
c39,d58
c21,d56
c44,d28
c14,d18
c28,d53
c16,d32
c64,d18
c21,d66
c26,d52
c50,d61
c46,d70
c50,d49
c50,d53
c55,d19
c39,d52
c33,d34
c59,d47
c68,d55
c43,d51
c21,d61
c17,d13
c60,d21
c15,d18
c0,d10
c69,d15
c36,d36
c29,d18
c34,d64
c25,d64
c16,d64
c35,d44
c67,d49
c66,d17
c51,d24
c50,d8
c17,d8
c19,d46
c53,d12
c12,d11
c48,d52
c48,d67
c8,d66
c10,d35
c60,d9
c42,d27
c27,d7
c11,d37
c43,d24
c66,d54
c41,d35
c68,d6
c40,d51
c56,d13
c7,d43
c18,d33
c44,d25
c49,d58
c35,d53
c21,d13
c46,d25
c31,d57
c16,d8
c26,d17
c40,d20
c69,d56
c40,d1
c61,d26
c43,d34
c13,d3
c42,d2
c52,d30
c0,d20
c33,d31
c23,d66
c39,d31
c39,d19
c19,d17
c58,d46
c21,d0
c11,d11
c60,d30
c68,d54
c43,d7
c11,d70
c40,d18
c43,d65
c36,d67
c32,d15
c34,d21
c50,d23
c35,d61
