b,c
b37,c13
b23,c12
b0,c30
b28,c14
b70,c44
b50,c5
b21,c25
b48,c38
b45,c15
b63,c46
b37,c70
b32,c5
b18,c15
b47,c18
b44,c65
b17,c46
b53,c61
b27,c20
b32,c51
b41,c21
b12,c3
b44,c46
b60,c6
b62,c62
b42,c59
b27,c51
b7,c53
b3,c60
b16,c52
b67,c34
b36,c43
b36,c67
b22,c24
b51,c15
b56,c12
b59,c45
b43,c8
b26,c37
b49,c10
b25,c25
b53,c31
b21,c50
b13,c38
b30,c61
b7,c33
b22,c11
b42,c43
b68,c42
b12,c14
b15,c65
b37,c12
b45,c61
b55,c45
b57,c58
b17,c67
b36,c0
b12,c15
b66,c22
b2,c62
b0,c40
b2,c50
b20,c15
b6,c67
b39,c10
b66,c57
b48,c58
b39,c62
b35,c29
b23,c70
b48,c25
b21,c34
b30,c44
b20,c64
b19,c56
b8,c3
b32,c15
b49,c53
b7,c64
b47,c45
b57,c33
b24,c30
b21,c49
b43,c55
b63,c29
b28,c32
b41,c0
b51,c56
b17,c1
b54,c11
b52,c24
b53,c29
b53,c58
b57,c3
b65,c67
b42,c22
b6,c69
b43,c67
b58,c19
b54,c41
b1,c44
b7,c44
b12,c55
b0,c11
b59,c25
b3,c70
b54,c36
b60,c16
b52,c18
b9,c67
b6,c38
b17,c23
b57,c31
b23,c13
b45,c28
b29,c56
b16,c39
b55,c19
b50,c42
b61,c57
b37,c62
b66,c63
b26,c28
b52,c57
b19,c40
b56,c11
b34,c46
b40,c45
b55,c67
b3,c3
b46,c69
b64,c25
b46,c14
b66,c14
b33,c0
b58,c14
b13,c17
b56,c17
b5,c23
b15,c33
b20,c33
b54,c64
b14,c3
b41,c41
b68,c8
b49,c30
b48,c37
b20,c50
b49,c54
b36,c5
b25,c15
b17,c52
b63,c45
b24,c1
b43,c46
b32,c38
b50,c1
b42,c12
b51,c64
b10,c29
b21,c3
b39,c51
b53,c2
b34,c45
b59,c3
b29,c69
b0,c38
b68,c31
b56,c20
b15,c67
b33,c29
b49,c27
b38,c6
b63,c56
b39,c0
b6,c23
b55,c0
b8,c61
b11,c8
b60,c62
b67,c57
b15,c52
b23,c42
b20,c16
b3,c51
b57,c4
b1,c46
b42,c66
b32,c21
b4,c31
b40,c8
b4,c16
b36,c27
b35,c45
b40,c43
b39,c15
b0,c46
b0,c2
b54,c47
b50,c45
b37,c52
b42,c41
b19,c3
b40,c52
b38,c45
b22,c41
b5,c18
b58,c68
b40,c37
b33,c9
b63,c58
b67,c50
b66,c32
b68,c33
b16,c47
b44,c49
b9,c29
b58,c5
b44,c56
b7,c50
b12,c48
b39,c34
b47,c21
b38,c17
b15,c19
b7,c55
b37,c27
b39,c31
b34,c14
b27,c19
b37,c16
b6,c7
b15,c55
b31,c52
b28,c58
b47,c6
b66,c61
b22,c2
b60,c46
b63,c31
b17,c57
b48,c50
b35,c31
b69,c38
b27,c52
b57,c10
b7,c54
b23,c11
b40,c4
b68,c14
b38,c67
b45,c58
b25,c61
b49,c46
b64,c65
b57,c36
b44,c26
b10,c61
b51,c55
b30,c62
b66,c2
b29,c26
b30,c26
b38,c19
b45,c7
b8,c22
b44,c23
b60,c53
b45,c12
b19,c2
b66,c19
b46,c66
b57,c22
b31,c25
b9,c51
b60,c20
b40,c13
b47,c53
b21,c24
b23,c33
b0,c51
b2,c51
b10,c23
b56,c48
b9,c61
b62,c20
b1,c18
b47,c61
b42,c52
b68,c20
b62,c46
b45,c36
b2,c17
b70,c3
b46,c41
b54,c52
b67,c33
b59,c46
b29,c63
b63,c2
b50,c6
b1,c47
b6,c11
b60,c68
b25,c18
b21,c70
b18,c59
b66,c67
b50,c55
b20,c57
b69,c52
b65,c30
b3,c30
b34,c59
b44,c34
b69,c14
b67,c54
b58,c42
b60,c61
b63,c10
b68,c29
b38,c59
b64,c17
b25,c40
b41,c57
b9,c50
b45,c56
b14,c19
b67,c9
b30,c21
b49,c9
b57,c14
b36,c66
b57,c29
b36,c63
b54,c31
b43,c0
b2,c31
b30,c4
b46,c29
b14,c58
b18,c45
b44,c48
b66,c66
b29,c22
b23,c7
b44,c15
b58,c7
b46,c36
b40,c27
b28,c69
b25,c46
b21,c56
b3,c12
b59,c65
b5,c14
b42,c27
b22,c18
b60,c14
b45,c38
b22,c9
b43,c34
b54,c62
b15,c27
b57,c43
b7,c68
b55,c62
b68,c12
b44,c32
b25,c19
b68,c64
b62,c14
b7,c39
b5,c4
b69,c17
b6,c48
b11,c23
b16,c26
b8,c60
b48,c42
b56,c32
b2,c58
b15,c60
b55,c52
b33,c13
b20,c62
b3,c63
b42,c62
b54,c45
b28,c16
b39,c70
b53,c46
b50,c40
b45,c40
b30,c10
b34,c12
b31,c46
b47,c54
b34,c60
b58,c51
b69,c49
b65,c0
b16,c4
b60,c15
b68,c22
b5,c3
b18,c5
b68,c45
b26,c17
b37,c46
b52,c50
b32,c57
b54,c60
b55,c34
b40,c63
b39,c68
b0,c55
b60,c22
b37,c7
b50,c12
b63,c67
b29,c67
b22,c10
b35,c18
b15,c22
b9,c14
b11,c18
b62,c56
b21,c68
b28,c5
b28,c67
b53,c0
b28,c3
b18,c22
b57,c69
b1,c12
b28,c48
b46,c8
b68,c1
b43,c47
b32,c12
b61,c55
b66,c39
b47,c19
b67,c16
b48,c67
b22,c67
b47,c55
b63,c16
b44,c37
b7,c62
b12,c22
b68,c30
b45,c30
b43,c9
b6,c51
b32,c11
b17,c65
b65,c11
b34,c24
b35,c16
b49,c14
b61,c20
b9,c18
b45,c25
b63,c11
b4,c42
b17,c56
b9,c27
b47,c48
b66,c42
b56,c3
b14,c16
b49,c60
b1,c11
b24,c10
b2,c36
b29,c42
b64,c70
b20,c32
b69,c35
b31,c47
b36,c34
b31,c18
b12,c53
b24,c8
b58,c52
b48,c33
b51,c52
b21,c64
b9,c1
b13,c54
b56,c31
b17,c11
b7,c32
b15,c1
b68,c11
b69,c46
b24,c52
b4,c25
b18,c1
b42,c44
b59,c21
b35,c52
b57,c2
b55,c53
b63,c9
b12,c19
b57,c26
b34,c7
b10,c60
b70,c32
b62,c48
b32,c23
b9,c6
b58,c18
b32,c36
b13,c39
b4,c48
b43,c35
b28,c41
b14,c9
b24,c54
b32,c65
b43,c33
b27,c1
b15,c40
b41,c40
b23,c59
b64,c49
