b,c
b3,c2
b2,c1
b5,c4
b9,c8
b1,c7
b7,c1
b8,c4
b0,c3
b6,c3
b3,c0
b8,c6
b8,c7
b2,c4
b6,c1
b5,c1
b6,c7
b0,c6
b7,c3
b4,c9
b9,c2
b4,c6
b5,c6
b8,c1
b4,c3
b3,c6
b1,c5
b4,c4
b9,c7
b5,c7
b1,c2
b9,c1
b2,c2
b2,c3
b6,c0
b7,c9
b1,c1
b6,c6
b6,c8
b2,c6
b7,c5
b6,c9
b9,c5
b3,c9
b8,c0
b4,c5
b3,c5
b4,c7
b1,c8
b8,c5
b4,c1
b4,c8
b8,c2
b9,c3
b8,c3
b9,c0
b3,c1
b6,c5
b7,c2
b8,c8
b2,c5
b1,c0
b5,c2
b2,c9
b7,c0
b6,c2
b0,c2
b1,c9
b5,c8
b5,c0
b9,c6
b7,c6
b0,c5
b0,c4
b0,c7
b3,c8
b8,c9
b4,c0
b7,c8
b5,c9
b3,c4
b5,c5
b2,c8
b3,c3
b0,c1
b1,c3
b4,c2
b0,c0
b9,c9
b0,c9
b0,c8
b3,c7
b7,c4
b2,c7
b5,c3
b1,c6
b7,c7
b9,c4
b1,c4
b6,c4
b2,c0
