a,b
a57,b71
a99,b59
a57,b65
a75,b24
a23,b65
a60,b80
a78,b23
a12,b57
a38,b18
a11,b68
a88,b81
a5,b76
a50,b57
a83,b94
a78,b83
a20,b79
a1,b67
a8,b7
a4,b24
a30,b76
a3,b99
a59,b41
a56,b75
a25,b66
a29,b81
a37,b63
a0,b84
a10,b58
a83,b35
a52,b70
a10,b90
a32,b40
a97,b29
a65,b36
a3,b8
a72,b98
a13,b51
a13,b37
a49,b8
a2,b87
a0,b27
a26,b6
a60,b48
a90,b50
a53,b9
a72,b80
a25,b99
a86,b34
a43,b11
a39,b42
a1,b52
a97,b15
a17,b31
a90,b12
a1,b7
a59,b62
a22,b87
a71,b24
a24,b93
a98,b16
a53,b82
a49,b14
a50,b53
a27,b0
a34,b75
a38,b2
a26,b23
a50,b77
a82,b73
a12,b5
a18,b27
a56,b33
a1,b98
a78,b42
a37,b49
a9,b9
a11,b26
a74,b81
a31,b1
a76,b47
a47,b79
a58,b16
a75,b61
a73,b17
a49,b23
a80,b19
a39,b29
a78,b31
a92,b24
a20,b94
a80,b70
a25,b87
a49,b61
a77,b10
a53,b6
a13,b13
a4,b65
a32,b30
a94,b90
a50,b32
a53,b76
a62,b37
a66,b22
a92,b8
a16,b29
a61,b71
a83,b78
a78,b9
a35,b27
a26,b95
a2,b8
a34,b52
a57,b31
a7,b5
a22,b36
a47,b67
a73,b16
a11,b46
a17,b57
a42,b84
a93,b88
a66,b74
a17,b75
a4,b2
a60,b45
a89,b39
a76,b81
a9,b61
a8,b93
a39,b40
a17,b9
a9,b57
a69,b47
a94,b5
a94,b94
a90,b16
a43,b45
a10,b87
a60,b9
a53,b3
a63,b73
a1,b79
a84,b48
a48,b74
a1,b77
a9,b10
a11,b81
a14,b32
a53,b93
a42,b49
a94,b88
a74,b58
a56,b59
a69,b10
a66,b96
a65,b3
a39,b76
a11,b61
a2,b29
a89,b14
a63,b99
a78,b84
a62,b32
a1,b47
a86,b78
a21,b96
a43,b84
a56,b63
a30,b41
a51,b85
a32,b25
a81,b55
a96,b25
a27,b49
a28,b74
a40,b26
a17,b17
a63,b44
a5,b91
a8,b35
a21,b14
a57,b60
a52,b48
a80,b66
a63,b86
a40,b91
a79,b57
a41,b9
a4,b35
a77,b5
a86,b90
a35,b73
a45,b39
a83,b72
a2,b82
a17,b51
a58,b24
a3,b98
a34,b30
a99,b18
a6,b80
a14,b57
a13,b80
a68,b83
a81,b47
a9,b87
a25,b25
a60,b32
a22,b91
a1,b96
a60,b68
a91,b4
a22,b28
a34,b99
a44,b69
a89,b66
a64,b78
a96,b20
a50,b89
a28,b11
a52,b92
a49,b16
a57,b58
a25,b80
a0,b48
a70,b72
a83,b64
a43,b59
a41,b83
a26,b12
a92,b82
a91,b15
a27,b31
a49,b11
a39,b68
a41,b33
a91,b2
a44,b64
a10,b4
a56,b43
a70,b53
a98,b35
a62,b3
a27,b8
a54,b4
a22,b68
a42,b87
a17,b60
a19,b66
a92,b66
a86,b88
a74,b88
a11,b97
a28,b56
a67,b71
a37,b93
a71,b81
a21,b66
a65,b71
a32,b39
a85,b48
a78,b26
a69,b67
a34,b73
a63,b25
a52,b68
a14,b64
a0,b77
a48,b3
a68,b5
a66,b51
a69,b72
a15,b62
a11,b88
a21,b8
a68,b58
a52,b51
a34,b31
a60,b63
a16,b43
a55,b60
a67,b40
a13,b24
a53,b79
a3,b33
a16,b89
a99,b2
a19,b29
a1,b87
a36,b41
a92,b45
a31,b79
a63,b13
a63,b93
a74,b15
a65,b79
a32,b91
a25,b89
a67,b55
a2,b48
a81,b52
a67,b78
a20,b68
a26,b80
a68,b81
a27,b67
a27,b69
a78,b75
a17,b29
a94,b80
a44,b23
a40,b77
a40,b24
a27,b99
a24,b12
a17,b30
a16,b93
a11,b33
a49,b12
a55,b53
a69,b90
a16,b25
a51,b80
a87,b2
a12,b25
a72,b87
a45,b46
a14,b90
a64,b81
a97,b43
a64,b87
a24,b9
a61,b13
a3,b4
a97,b70
a78,b65
a72,b61
a18,b24
a23,b14
a26,b22
a20,b36
a86,b12
a74,b7
a17,b87
a59,b9
a97,b12
a41,b50
a59,b54
a65,b45
a55,b26
a1,b81
a89,b5
a25,b23
a52,b58
a46,b94
a47,b51
a24,b77
a21,b12
a65,b1
a41,b10
a90,b80
a51,b72
a76,b24
a64,b74
a43,b97
a33,b35
a14,b95
a95,b99
a20,b51
a17,b42
a68,b88
a47,b98
a55,b97
a23,b51
a26,b92
a23,b9
a43,b38
a60,b12
a1,b45
a81,b79
a6,b29
a34,b85
a38,b43
a27,b84
a23,b68
a9,b49
a65,b63
a82,b27
a89,b15
a97,b50
a73,b2
a14,b78
a13,b94
a30,b32
a56,b51
a64,b6
a97,b25
a82,b48
a1,b12
a33,b32
a35,b43
a70,b69
a65,b53
a66,b72
a12,b81
a56,b82
a9,b70
a76,b85
