c,d
c3,d73
c45,d15
c99,d53
c46,d5
c46,d76
c54,d6
c49,d57
c46,d34
c92,d32
c72,d91
c3,d61
c9,d71
c3,d12
c34,d59
c3,d77
c21,d64
c79,d57
c94,d25
c99,d77
c54,d3
c53,d70
c72,d35
c10,d9
c6,d55
c83,d32
c65,d29
c92,d29
c84,d26
c46,d77
c20,d52
c12,d78
c95,d23
c99,d30
c49,d47
c32,d18
c73,d2
c53,d41
c7,d28
c21,d9
c0,d24
c60,d94
c38,d2
c70,d43
c76,d26
c59,d92
c8,d71
c89,d92
c50,d49
c4,d95
c5,d58
c17,d51
c25,d29
c55,d11
c47,d23
c24,d46
c41,d80
c72,d16
c70,d95
c6,d22
c69,d74
c68,d88
c14,d25
c51,d78
c63,d97
c63,d99
c73,d36
c98,d62
c60,d8
c72,d30
c45,d7
c86,d3
c17,d60
c15,d39
c42,d71
c96,d98
c16,d5
c18,d0
c88,d14
c26,d49
c30,d49
c27,d43
c20,d5
c41,d53
c90,d9
c99,d51
c7,d56
c31,d16
c78,d84
c68,d57
c70,d14
c48,d73
c95,d12
c62,d18
c28,d60
c26,d10
c6,d60
c50,d84
c42,d12
c43,d5
c83,d95
c8,d9
c32,d89
c48,d67
c83,d12
c92,d42
c37,d9
c74,d10
c74,d48
c82,d20
c79,d99
c19,d43
c91,d16
c21,d83
c76,d42
c1,d22
c19,d35
c50,d83
c56,d80
c11,d35
c70,d11
c13,d56
c16,d39
c76,d41
c50,d24
c19,d58
c95,d73
c87,d31
c52,d95
c65,d68
c46,d61
c51,d12
c40,d63
c97,d40
c83,d1
c51,d24
c6,d56
c96,d9
c1,d16
c94,d76
c61,d15
c57,d78
c17,d42
c47,d37
c12,d14
c78,d48
c57,d99
c52,d29
c76,d3
c78,d63
c66,d56
c73,d45
c18,d3
c24,d33
c88,d65
c59,d98
c81,d49
c56,d52
c66,d89
c91,d25
c19,d89
c87,d12
c32,d28
c21,d10
c63,d50
c99,d83
c49,d4
c75,d36
c61,d64
c13,d19
c80,d88
c6,d2
c86,d90
c93,d51
c43,d2
c69,d54
c90,d13
c98,d6
c34,d26
c77,d19
c0,d9
c68,d95
c62,d13
c63,d78
c83,d90
c60,d3
c61,d56
c68,d55
c44,d15
c30,d89
c2,d60
c61,d12
c30,d70
c25,d6
c44,d77
c15,d38
c8,d87
c64,d61
c45,d67
c49,d15
c18,d7
c62,d86
c0,d79
c94,d72
c11,d70
c8,d2
c57,d76
c81,d12
c3,d10
c17,d23
c49,d58
c91,d73
c35,d80
c40,d4
c99,d41
c1,d30
c20,d46
c72,d78
c75,d38
c21,d92
c24,d95
c86,d79
c83,d94
c30,d37
c60,d62
c93,d1
c93,d84
